level.razor.use, boolean, 00
level.razor.now, integer, 000000BE
level.razor.use, boolean, 01
level.razor.use, boolean, 00
level.karamel26.use, boolean, 00
level.karamel26.now, integer, 00000002
level.karamel26.use, boolean, 01
level.karamel26.use, boolean, 00
level.karamel26.use, boolean, 00
level.karamel26.now, integer, 00000002
level.karamel26.use, boolean, 01
level.karamel26.use, boolean, 00
level.karamel26.use, boolean, 00
level.karamel26.now, integer, 00000002
level.karamel26.use, boolean, 01
level.karamel26.use, boolean, 00
level.karamel26.use, boolean, 00
level.karamel26.now, integer, 00000002
level.karamel26.use, boolean, 01
level.karamel26.use, boolean, 00
level.razor.use, boolean, 00
level.razor.now, integer, 000000BE
level.razor.use, boolean, 01
level.king_rusch.use, boolean, 00
level.king_rusch.now, integer, 0000001F
level.king_rusch.use, boolean, 01
level.king_rusch.use, boolean, 00
level.karamel26.use, boolean, 00
level.karamel26.now, integer, 00000013
level.karamel26.use, boolean, 01
level.razor.use, boolean, 00
level.king_rusch.use, boolean, 00
level.king_rusch.now, integer, 00000023
level.king_rusch.use, boolean, 01
level.karamel26.use, boolean, 00
level.karamel26.use, boolean, 00
level.karamel26.now, integer, 0000001A
level.karamel26.use, boolean, 01
level.maacdoo.use, boolean, 00
level.maacdoo.use, boolean, 00
level.king_rusch.use, boolean, 00
level.razor.use, boolean, 00
level.razor.now, integer, 000000BE
level.razor.use, boolean, 01
level.king_rusch.use, boolean, 00
level.king_rusch.now, integer, 00000032
level.king_rusch.use, boolean, 01
level.king_rusch.use, boolean, 00
level.king_rusch.use, boolean, 00
level.king_rusch.now, integer, 0000003F
level.king_rusch.use, boolean, 01
level.king_rusch.use, boolean, 00
level.king_rusch.use, boolean, 00
level.king_rusch.now, integer, 0000003F
level.king_rusch.use, boolean, 01
